"school_id","school_name","enroll","reg_attend","ela","math","street","city","state","zip","address","lon","lat","reg_attend_pctile","ela_pctile","math_pctile","enroll_scaled","optional"
4040,"Four Rivers Community School",304,89,NA,NA,"2449 SW 4th Ave","Ontario","OR",97914,"2449 SW 4th Ave, Ontario, OR 97914",-116.9987622,44.025799,0.838818565400844,NA,NA,2.70775720646824,TRUE
4604,"The Cottonwood School of Civics and Science",209,86,67,43,"0640 SW Bancroft St","Portland","OR",97239,"0640 SW Bancroft St, Portland, OR 97239",-122.6719672,45.4927145,0.686075949367088,0.806818181818182,0.520454545454546,2.4851183501289,TRUE
4720,"The Ivy School",267,86,65,33,"4212 NE Prescott St","Portland","OR",97218,"4212 NE Prescott St, Portland, OR 97218",-122.6199701,45.5552093,0.686075949367088,0.770454545454546,0.279545454545455,2.62104523084134,TRUE
97,"Boring Middle School",412,84,61,50,"27801 SE Dee St","Boring","OR",97009,"27801 SE Dee St, Boring, OR 97009",-122.3773685,45.4321225,0.577215189873418,0.690909090909091,0.688636363636364,2.96086243262245,TRUE
102,"Cedar Ridge Middle School",385,78,62,53,"17100 Bluff Rd","Sandy","OR",97055,"17100 Bluff Rd, Sandy, OR 97055",-122.2694281,45.3999684,0.30126582278481,0.710227272727273,0.75,2.8975861260839,TRUE
101,"Firwood Elementary School",416,86,59,49,"42900 SE Trubel Rd","Sandy","OR",97055,"42900 SE Trubel Rd, Sandy, OR 97055",-122.2220076,45.372907,0.686075949367088,0.643181818181818,0.673863636363637,2.97023670025779,TRUE
99,"Kelso Elementary School",358,86,55,51,"34651 SE Kelso Rd","Boring","OR",97009,"34651 SE Kelso Rd, Boring, OR 97009",-122.3069051,45.4205101,0.686075949367088,0.559090909090909,0.713636363636364,2.83430981954535,TRUE
96,"Naas Elementary School",385,88,57,41,"12240 SE School Ave","Boring","OR",97009,"12240 SE School Ave, Boring, OR 97009",-122.3784464,45.4343595,0.79915611814346,0.596590909090909,0.482954545454545,2.8975861260839,TRUE
4820,"Oregon Trail  Academy",267,87,NA,NA,"36225 SE Proctor Rd","Boring","OR",97009,"36225 SE Proctor Rd, Boring, OR 97009",-122.2898811,45.454818,0.746835443037975,NA,NA,2.62104523084134,TRUE
100,"Sandy Grade School",342,86,66,56,"38955 Pleasant St","Sandy","OR",97055,"38955 Pleasant St, Sandy, OR 97055",-122.2627033,45.3986989,0.686075949367088,0.788636363636364,0.784090909090909,2.79681274900398,TRUE
141,"Sandy High School",1357,68,NA,NA,"37400 Bell St","Sandy","OR",97055,"37400 Bell St, Sandy, OR 97055",-122.276091,45.4026877,0.0869198312236287,NA,NA,5.17553316147176,TRUE
88,"Welches Elementary School",218,85,59,46,"24901 E Salmon River Rd","Welches","OR",97067,"24901 E Salmon River Rd, Welches, OR 97067",-121.9487035,45.3435041,0.627004219409283,0.643181818181818,0.594318181818182,2.50621045230841,TRUE
2392,"Welches Middle School",95,74,63,31,"24903 E Salmon River Rd","Welches","OR",97067,"24903 E Salmon River Rd, Welches, OR 97067",-121.9479192,45.3436105,0.174683544303797,0.730681818181818,0.230681818181818,2.21795172252168,TRUE
3360,"Paisley School",215,91,NA,NA,"260 Green St","Paisley","OR",97636,"260 Green St, Paisley, OR 97636",-120.5427378,42.6933669,0.90464135021097,NA,NA,2.49917975158191,TRUE
931,"Parkrose High School",897,72,NA,NA,"12003 NE Shaver St","Portland","OR",97220,"12003 NE Shaver St, Portland, OR 97220",-122.5401505,45.5531305,0.137552742616034,NA,NA,4.09749238340755,TRUE
930,"Parkrose Middle School",750,75,55,28,"11800 NE Shaver St","Portland","OR",97220,"11800 NE Shaver St, Portland, OR 97220",-122.5406015,45.5509324,0.20337552742616,0.559090909090909,0.175,3.75298804780877,TRUE
925,"Prescott Elementary School",316,75,32,19,"10410 NE Prescott St","Portland","OR",97220,"10410 NE Prescott St, Portland, OR 97220",-122.5560473,45.5550437,0.20337552742616,0.0897727272727273,0.0659090909090909,2.73588000937427,TRUE
926,"Russell Elementary",395,85,40,29,"2700 NE 127th Ave","Portland","OR",97230,"2700 NE 127th Ave, Portland, OR 97230",-122.5313001,45.5413695,0.627004219409283,0.196590909090909,0.196590909090909,2.92102179517225,TRUE
927,"Sacramento Elementary School",341,79,33,12,"11400 NE Sacramento St","Portland","OR",97220,"11400 NE Sacramento St, Portland, OR 97220",-122.5447849,45.538509,0.341772151898734,0.0943181818181818,0.0125,2.79446918209515,TRUE
928,"Shaver Elementary School",326,76,44,31,"3701 NE 131st Pl","Portland","OR",97230,"3701 NE 131st Pl, Portland, OR 97230",-122.5287883,45.549441,0.238818565400844,0.292045454545455,0.230681818181818,2.75931567846262,TRUE
4116,"Hawthorne Middle/High School",37,25,NA,NA,"1700 NW 15th Dr","Pendleton","OR",97801,"1700 NW 15th Dr, Pendleton, OR 97801",-118.8061418,45.6772741,0.00928270042194093,NA,NA,2.08202484180923,TRUE
1047,"McKay Creek Elementary School",286,87,48,47,"1539 SW 44th St","Pendleton","OR",97801,"1539 SW 44th St, Pendleton, OR 97801",-118.8257179,45.6459371,0.746835443037975,0.386363636363636,0.619318181818182,2.66557300210921,TRUE
4202,"Nixyaawii Community School",73,61,NA,NA,"73300 July Grounds Ln","Pendleton","OR",97801,"73300 July Grounds Ln, Pendleton, OR 97801",-118.6638217,45.6653276,0.0447257383966245,NA,NA,2.1663932505273,TRUE
5287,"Pendleton Early Learning Center",250,77,NA,NA,"455 SW 13th St","Pendleton","OR",97801,"455 SW 13th St, Pendleton, OR 97801",-118.7985819,45.6662926,0.270042194092827,NA,NA,2.58120459339114,TRUE
1052,"Pendleton High School",762,79,NA,NA,"1800 NW Carden Ave","Pendleton","OR",97801,"1800 NW Carden Ave, Pendleton, OR 97801",-118.8058399,45.6751772,0.341772151898734,NA,NA,3.78111085071479,TRUE
1048,"Sherwood Heights Elementary School",462,83,50,54,"3235 SW Nye Ave","Pendleton","OR",97801,"3235 SW Nye Ave, Pendleton, OR 97801",-118.8165693,45.6533538,0.522362869198312,0.4375,0.756818181818182,3.07804077806421,TRUE
1051,"Sunridge Middle School",745,82,53,40,"700 SW Runnion Ave","Pendleton","OR",97801,"700 SW Runnion Ave, Pendleton, OR 97801",-118.7870522,45.6505411,0.475949367088608,0.510227272727273,0.459090909090909,3.74127021326459,TRUE
1049,"Washington Elementary School",430,81,37,35,"1205 SE Byers Ave","Pendleton","OR",97801,"1205 SE Byers Ave, Pendleton, OR 97801",-118.7735393,45.6762706,0.425316455696203,0.151136363636364,0.336363636363636,3.00304663698149,TRUE
3378,"Perrydale School",311,73,NA,NA,"7445 Perrydale Rd","Amity","OR",97101,"7445 Perrydale Rd, Amity, OR 97101",-123.2574933,45.0418577,0.156962025316456,NA,NA,2.72416217483009,TRUE
18,"Blodgett Elementary School",30,89,85,62,"35177 Tum Tum Rd","Blodgett","OR",97326,"35177 Tum Tum Rd, Blodgett, OR 97326",-123.528545,44.59082,0.838818565400844,0.973863636363636,0.854545454545455,2.06561987344739,TRUE
3162,"Clemens Primary School",175,85,NA,NA,"535 S 19th St","Philomath","OR",97370,"535 S 19th St, Philomath, OR 97370",-123.357999,44.536365,0.627004219409283,NA,NA,2.4054370752285,TRUE
3440,"Kings Valley Charter School",200,68,NA,NA,"38840 Kings Valley Hwy","Philomath","OR",97370,"38840 Kings Valley Hwy, Philomath, OR 97370",-123.4329284,44.6945817,0.0869198312236287,NA,NA,2.46402624794938,TRUE
20,"Philomath Elementary School",383,90,52,49,"239 S 16th St","Philomath","OR",97370,"239 S 16th St, Philomath, OR 97370",-123.3625672,44.5377245,0.870886075949367,0.479545454545455,0.673863636363637,2.89289899226623,TRUE
22,"Philomath High School",468,79,NA,NA,"2054 Applegate St","Philomath","OR",97370,"2054 Applegate St, Philomath, OR 97370",-123.3556679,44.5381367,0.341772151898734,NA,NA,3.09210217951723,TRUE
21,"Philomath Middle School",346,85,63,43,"2021 Chapel Dr","Philomath","OR",97370,"2021 Chapel Dr, Philomath, OR 97370",-123.3556333,44.5345472,0.627004219409283,0.730681818181818,0.520454545454546,2.80618701663933,TRUE
3247,"Armadillo Technical Institute",95,19,NA,NA,"106 Rose St","Phoenix","OR",97535,"106 Rose St, Phoenix, OR 97535",-122.8181536,42.2715482,0.00421940928270042,NA,NA,2.21795172252168,TRUE
370,"Orchard Hill Elementary School",436,81,42,33,"1011 LaLoma Dr","Medford","OR",97504,"1011 LaLoma Dr, Medford, OR 97504",-122.8301028,42.3082777,0.425316455696203,0.238636363636364,0.279545454545455,3.0171080384345,TRUE
371,"Phoenix Elementary School",384,86,23,11,"215 N Rose St","Phoenix","OR",97535,"215 N Rose St, Phoenix, OR 97535",-122.8200681,42.2733072,0.686075949367088,0.0261363636363636,0.00909090909090909,2.89524255917506,TRUE
374,"Phoenix High School",643,75,NA,NA,"745 N Rose St","Phoenix","OR",97535,"745 N Rose St, Phoenix, OR 97535",-122.824831,42.27634,0.20337552742616,NA,NA,3.50222638856339,TRUE
372,"Talent Elementary School",469,80,43,28,"307 W Wagner Ave","Talent","OR",97540,"307 W Wagner Ave, Talent, OR 97540",-122.7913944,42.2416116,0.388185654008439,0.264772727272727,0.175,3.09444574642606,TRUE
373,"Talent Middle School",552,81,46,22,"102 Christian Ave","Talent","OR",97540,"102 Christian Ave, Talent, OR 97540",-122.7939386,42.2397255,0.425316455696203,0.342045454545455,0.0988636363636364,3.28896179985939,TRUE
1027,"Pilot Rock Elementary School",155,85,35,29,"200 Vern McGowan Dr","Pilot Rock","OR",97868,"200 Vern McGowan Dr, Pilot Rock, OR 97868",-118.8332553,45.4785564,0.627004219409283,0.115909090909091,0.196590909090909,2.35856573705179,TRUE
1028,"Pilot Rock High School",163,64,NA,NA,"101 NE Cherry St","Pilot Rock","OR",97868,"101 NE Cherry St, Pilot Rock, OR 97868",-118.8309048,45.482724,0.0565400843881856,NA,NA,2.37731427232247,TRUE
347,"Pine Creek Elementary School",9,NA,NA,NA,"79654 Pine Creek Rd","Drewsey","OR",97904,"79654 Pine Creek Rd, Drewsey, OR 97904",-118.5904639,43.8557239,NA,NA,NA,2.01640496836185,TRUE
15,"Pine Eagle Charter School",191,80,NA,NA,"375 North Main St","Halfway","OR",97834,"375 North Main St, Halfway, OR 97834",-117.1136701,44.8818416,0.388185654008439,NA,NA,2.44293414576986,TRUE
407,"Pinehurst Elementary School",13,58,NA,NA,"15337 Hwy 66","Ashland","OR",97520,"15337 Hwy 66, Ashland, OR 97520",-122.3987422,42.1091645,0.0413502109704641,NA,NA,2.02577923599719,TRUE
500,"Pleasant Hill Elementary School",417,82,47,41,"36386 Hwy 58","Pleasant Hill","OR",97455,"36386 Hwy 58, Pleasant Hill, OR 97455",-122.9134386,43.9590454,0.475949367088608,0.365909090909091,0.482954545454545,2.97258026716663,TRUE
502,"Pleasant Hill High School",561,78,NA,NA,"36386 Hwy 58","Pleasant Hill","OR",97455,"36386 Hwy 58, Pleasant Hill, OR 97455",-122.9134386,43.9590454,0.30126582278481,NA,NA,3.3100539020389,TRUE
497,"Plush Elementary School",2,NA,NA,NA,"18254 Morris Ln","Plush","OR",97637,"18254 Morris Ln, Plush, OR 97637",-119.9021804,42.4134539,NA,NA,NA,2,TRUE
228,"Driftwood Elementary School",152,74,58,40,"1202 Oregon St","Port Orford","OR",97465,"1202 Oregon St, Port Orford, OR 97465",-124.4965953,42.748678,0.174683544303797,0.625,0.459090909090909,2.35153503632529,TRUE
229,"Pacific High School",62,84,NA,NA,"45525 Hwy 101","Port Orford","OR",97465,"45525 Hwy 101, Port Orford, OR 97465",-124.4742499,42.8464667,0.577215189873418,NA,NA,2.14061401453011,TRUE
822,"Abernethy Elementary School",524,91,81,73,"2421 SE Orange Ave","Portland","OR",97214,"2421 SE Orange Ave, Portland, OR 97214",-122.6515469,45.5058134,0.90464135021097,0.95,0.944318181818182,3.223341926412,TRUE
823,"Ainsworth Elementary School",626,92,90,80,"2425 SW Vista Ave","Portland","OR",97201,"2425 SW Vista Ave, Portland, OR 97201",-122.6996213,45.5097914,0.937552742616034,0.995454545454546,0.975,3.46238575111319,TRUE
824,"Alameda Elementary School",743,92,83,70,"2732 NE Fremont St","Portland","OR",97212,"2732 NE Fremont St, Portland, OR 97212",-122.6376166,45.5478347,0.937552742616034,0.963636363636364,0.930681818181818,3.73658307944692,TRUE
4507,"Alliance High School",202,31,NA,NA,"4039 NE Alberta Ct","Portland","OR",97211,"4039 NE Alberta Ct, Portland, OR 97211",-122.6223087,45.5585313,0.0168776371308017,NA,NA,2.46871338176705,TRUE
826,"Arleta Elementary School",460,85,59,40,"5109 SE 66th Ave","Portland","OR",97206,"5109 SE 66th Ave, Portland, OR 97206",-122.5963336,45.485976,0.627004219409283,0.643181818181818,0.459090909090909,3.07335364424654,TRUE
827,"Astor Elementary School",418,86,59,43,"5601 N Yale St","Portland","OR",97203,"5601 N Yale St, Portland, OR 97203",-122.7295359,45.5787857,0.686075949367088,0.643181818181818,0.520454545454546,2.97492383407546,TRUE
828,"Atkinson Elementary School",425,87,65,47,"5800 SE Division St","Portland","OR",97206,"5800 SE Division St, Portland, OR 97206",-122.6049256,45.5050873,0.746835443037975,0.770454545454546,0.619318181818182,2.99132880243731,TRUE
